,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,101,101,-888,-888,3,0,False
1,1,194,195,-888,-888,32,0,False
2,2,844,846,-888,-888,0,0,False
3,3,947,947,-888,-888,-31,0,False
4,4,986,986,-888,-888,26,0,False
5,5,1451,1451,-888,-888,-26,0,False
6,6,1468,1468,-888,-888,27,0,False
7,7,1592,1592,-888,-888,-26,0,False
8,8,1849,1849,-888,-888,35,0,False
9,9,2092,2092,-888,-888,-36,0,False
10,10,2246,2248,-888,-888,41,0,False
11,11,2701,2701,-888,-888,-41,0,False
12,12,2723,2723,-888,-888,42,0,False
13,13,2980,2981,-888,-888,-14,0,False
14,14,3250,3250,-888,-888,-28,0,False
15,15,3270,3271,-888,-888,34,0,False
16,16,4106,4106,-888,-888,-3,0,False
17,17,5010,5010,-888,-888,0,0,False
18,18,5292,5292,-888,-888,12,0,False
19,19,5484,5484,-888,-888,-41,0,False
20,20,5783,5783,-888,-888,29,0,False
21,21,5892,5892,-888,-888,7,0,False
22,22,6636,6636,-888,-888,-8,0,False
23,23,6644,6644,-888,-888,14,0,False
